YearOfBirth,Name,Sex,Number
2000,Janet,F,686
2000,Carissa,F,685
2000,Iris,F,685
2000,Kaleigh,F,684
2000,Tyler,F,683
2000,Susan,F,682
2000,Tamara,F,680
2000,Theresa,F,679
2000,Yasmine,F,676
2000,Tatum,F,675
2000,Sharon,F,670
2000,Alice,F,668
2000,Yasmin,F,668
2000,Tamia,F,664
2000,Abbey,F,660
2000,Alayna,F,660
2000,Kali,F,660
2000,Lilly,F,659
2000,Bailee,F,658
2000,Lesley,F,658
2000,Mckayla,F,658
2000,Ayanna,F,656
2000,Serenity,F,654
2000,Karissa,F,649
2000,Precious,F,648
2000,Jane,F,647
2000,Maddison,F,647
2000,Jayda,F,645
2000,Lexi,F,642
2000,Kelsie,F,641
2000,Phoebe,F,641
2000,Halle,F,639
2000,Kiersten,F,638
2000,Kiera,F,636
2000,Tyra,F,635
2000,Annika,F,634
2000,Felicity,F,634
2000,Taryn,F,633
2000,Kaylin,F,632
2000,Ellen,F,631
2000,Kiley,F,628
2000,Jaclyn,F,614
2000,Rhiannon,F,612
2000,Madisyn,F,610
2000,Colleen,F,609
2000,Joy,F,607
2000,Charity,F,606
2000,Pamela,F,606
2000,Tania,F,604
2000,Fiona,F,603
2000,Alyson,F,599
2000,Kaila,F,599
2000,Annabelle,F,597
2000,Emely,F,597
2000,Irene,F,596
2000,Angelique,F,595
2000,Alina,F,594
2000,Johanna,F,594
2000,Regan,F,592
2000,Janelle,F,590
2000,Janae,F,589
2000,Madyson,F,588
2000,Paris,F,585
2000,Justine,F,583
2000,Chelsey,F,579
2000,Sasha,F,579
2000,Paulina,F,574
2000,Mayra,F,570
2000,Zaria,F,568
2000,Skye,F,566
2000,Cora,F,564
2000,Brisa,F,562
2000,Emilie,F,562
2000,Felicia,F,562
2000,Tianna,F,562
2000,Larissa,F,561
2000,Macie,F,561
2000,Aurora,F,557
2000,Sage,F,557
2000,Lucia,F,552
2000,Alma,F,547
2000,Chasity,F,547
2000,Ann,F,545
2000,Deborah,F,545
2000,Nichole,F,545
2000,Jayden,F,542
2000,Alanna,F,541
2000,Malia,F,541
2000,Carlie,F,540
2000,Angie,F,539
2000,Nora,F,539
2000,Sylvia,F,539
2000,Kailee,F,536
2000,Carrie,F,534
2000,Elaina,F,534
2000,Sonia,F,532
2000,Kenya,F,524
2000,Genevieve,F,523
2000,Piper,F,522
2000,Marilyn,F,520
2000,Amari,F,519
2000,Barbara,F,518
2000,Macey,F,518
2000,Marlene,F,518
2000,Tayler,F,512
2000,Julianne,F,511
2000,Brooklynn,F,510
2000,Lorena,F,510
2000,Perla,F,510
2000,Elisa,F,508
2000,Eden,F,505
2000,Kaley,F,505
2000,Leilani,F,505
2000,Miracle,F,503
2000,Devin,F,502
2000,Aileen,F,501
2000,Chyna,F,500
2000,Athena,F,497
2000,Esperanza,F,497
2000,Regina,F,497
2000,Adrienne,F,496
2000,Shyanne,F,491
2000,Luz,F,489
2000,Tierra,F,488
2000,Clare,F,484
2000,Cristal,F,484
2000,Eliana,F,483
2000,Kelli,F,483
2000,Eve,F,482
2000,Sydnee,F,482
2000,Madelynn,F,481
2000,Breana,F,480
2000,Melina,F,480
2000,Arielle,F,479
2000,Justice,F,477
2000,Toni,F,477
2000,Corinne,F,476
2000,Maia,F,475
2000,Tess,F,475
2000,Abbigail,F,474
2000,Ciera,F,474
2000,Ebony,F,474
2000,Maritza,F,474
2000,Lena,F,473
2000,Lexie,F,471
2000,Isis,F,469
2000,Aimee,F,468
2000,Leticia,F,468
2000,Sydni,F,468
2000,Sarai,F,465
2000,Halie,F,464
2000,Alivia,F,463
2000,Destiney,F,463
2000,Laurel,F,463
2000,Edith,F,461
2000,Carina,F,460
2000,Fernanda,F,460
2000,Amya,F,458
2000,Destini,F,458
2000,Aspen,F,455
2000,Nathalie,F,454
2000,Paula,F,454
2000,Tanya,F,454
2000,Frances,F,453
2000,Tina,F,453
2000,Christian,F,452
2000,Elaine,F,452
2000,Shayna,F,449
2000,Aniya,F,448
2000,Mollie,F,448
2000,Ryan,F,448
2000,Essence,F,447
2000,Simone,F,447
2000,Kyleigh,F,443
2000,Nikki,F,442
2000,Anya,F,439
2000,Reyna,F,438
2000,Kaylyn,F,437
2000,Nicolette,F,437
2000,Savanah,F,437
2000,Abbie,F,432
2000,Montana,F,432
2000,Kailyn,F,431
2000,Itzel,F,429
2000,Leila,F,427
2000,Cayla,F,425
2000,Stacy,F,425
2000,Robin,F,423
2000,Araceli,F,422
2000,Candace,F,421
2000,Dulce,F,421
2000,Noemi,F,420
2000,Jewel,F,419
2000,Aleah,F,418
2000,Ally,F,418
2000,Mara,F,418
2000,Nayeli,F,418
2000,Karlee,F,417
2000,Keely,F,416
2000,Alisa,F,415
2000,Micaela,F,415
2000,Desirae,F,414
2000,Leanna,F,414
2000,Antonia,F,413
2000,Brynn,F,412
2000,Jaelyn,F,412
2000,Judith,F,412
2000,Raegan,F,410
2000,Katelin,F,409
2000,Sienna,F,409
2000,Celia,F,408
2000,Yvette,F,407
2000,Juliet,F,405
2000,Anika,F,402
2000,Emilia,F,402
2000,Calista,F,401
2000,Carlee,F,401
2000,Eileen,F,401
2000,Kianna,F,401
2000,Thalia,F,398
2000,Rylie,F,397
2000,Daphne,F,396
2000,Kacie,F,395
2000,Rosemary,F,395
2000,Karli,F,394
2000,Ericka,F,392
2000,Jadyn,F,392
2000,Lyndsey,F,392
2000,Micah,F,392
2000,Hana,F,391
2000,Madilyn,F,391
2000,Haylie,F,390
2000,Laila,F,389
2000,Blanca,F,388
2000,Kayley,F,388
2000,Katarina,F,387
2000,Kellie,F,386
2000,Maribel,F,384
2000,Sandy,F,384
2000,Joselyn,F,381
2000,Kaelyn,F,379
2000,Madisen,F,378
2000,Carson,F,377
2000,Kathy,F,377
2000,Margarita,F,377
2000,Stella,F,376
2000,Juliette,F,373
2000,Devon,F,371
2000,Camila,F,370
2000,Bria,F,369
2000,Donna,F,369
2000,Helena,F,367
2000,Lea,F,367
2000,Jazlyn,F,366
2000,Jazmyn,F,365
2000,Skyla,F,364
2000,Christy,F,362
2000,Katharine,F,362
2000,Joyce,F,361
2000,Karlie,F,361
2000,Lexus,F,360
2000,Alessandra,F,359
2000,Salma,F,359
2000,Delilah,F,358
2000,Moriah,F,358
2000,Celine,F,357
2000,Lizeth,F,357
2000,Beatriz,F,356
2000,Brianne,F,355
2000,Kourtney,F,353
2000,Sydnie,F,352
2000,Stacey,F,350
2000,Mariam,F,349
2000,Robyn,F,349
2000,Hayden,F,348
2000,Janessa,F,346
2000,Kenzie,F,345
2000,Jalyn,F,343
2000,Sheila,F,343
2000,Meaghan,F,342
2000,Aisha,F,341
2000,Jaida,F,340
2000,Shawna,F,340
2000,Estrella,F,339
2000,Marley,F,337
2000,Melinda,F,337
2000,Ayana,F,336
2000,Karly,F,336
2000,Devyn,F,335
2000,Nataly,F,335
2000,Loren,F,334
2000,Rosalinda,F,334
2000,Brielle,F,332
2000,Laney,F,332
2000,Lizette,F,329
2000,Sally,F,329
2000,Tracy,F,329
2000,Lilian,F,328
2000,Rebeca,F,328
2000,Chandler,F,326
2000,Jenifer,F,326
2000,Valentina,F,325
2000,America,F,324
2000,Candice,F,324
2000,Diane,F,324
2000,Abigayle,F,323
2000,Susana,F,323
2000,Aliya,F,322
2000,Casandra,F,322
2000,Harmony,F,322
2000,Jacey,F,322
2000,Alena,F,321
2000,Aylin,F,321
2000,Carol,F,321
2000,Shea,F,321
2000,Stephany,F,321
2000,Aniyah,F,320
2000,Zoie,F,320
2000,Jackeline,F,319
2000,Alia,F,318
2000,Savana,F,317
2000,Damaris,F,316
2000,Gwendolyn,F,316
2000,Violet,F,316
2000,Marian,F,315
2000,Anita,F,314
2000,Jaime,F,314
2000,Alexandrea,F,313
2000,Jaiden,F,313
2000,Dorothy,F,312
2000,Kristine,F,312
2000,Carli,F,311
2000,Gretchen,F,310
2000,Janice,F,310
2000,Annette,F,309
2000,Mariela,F,309
2000,Amani,F,308
2000,Maura,F,308
2000,Bella,F,307
2000,Kaylynn,F,307
2000,Lila,F,306
2000,Armani,F,305
2000,Anissa,F,304
2000,Aubree,F,304
2000,Kelsi,F,304
2000,Greta,F,301
2000,Kaya,F,301
2000,Kayli,F,301
2000,Lillie,F,301
2000,Willow,F,301
2000,Ansley,F,300
2000,Catalina,F,300
2000,Lia,F,300
2000,Maci,F,299
2000,Celina,F,298
2000,Shyann,F,298
2000,Alysa,F,297
2000,Jaquelin,F,297
2000,Kasandra,F,297
2000,Quinn,F,297
2000,Cecelia,F,296
2000,Mattie,F,296
2000,Chaya,F,295
2000,Hailie,F,295
2000,Haven,F,295
2000,Kallie,F,295
2000,Maegan,F,295
2000,Maeve,F,295
2000,Rocio,F,295
2000,Yolanda,F,295
2000,Christa,F,294
2000,Gabriel,F,293
2000,Kari,F,293
2000,Noelia,F,293
2000,Jeanette,F,292
2000,Kaylah,F,292
2000,Marianna,F,292
2000,Nya,F,292
2000,Kennedi,F,291
2000,Presley,F,291
2000,Yadira,F,291
2000,Elissa,F,290
2000,Nyah,F,290
2000,Reilly,F,290
2000,Shaina,F,290
2000,Alize,F,286
2000,Amara,F,286
2000,Arlene,F,286
2000,Izabella,F,285
2000,Lyric,F,285
2000,Aiyana,F,284
2000,Allyssa,F,284
2000,Drew,F,283
2000,Rachelle,F,283
2000,Adeline,F,282
2000,Jacklyn,F,282
2000,Jesse,F,282
2000,Citlalli,F,281
2000,Liana,F,281
2000,Giovanna,F,280
2000,Graciela,F,279
2000,Princess,F,279
2000,Selina,F,279
2000,Brook,F,278
2000,Elyse,F,278
2000,Cali,F,277
2000,Chanel,F,277
2000,Berenice,F,276
2000,Iliana,F,276
2000,Jolie,F,275
2000,Caitlynn,F,274
2000,Christiana,F,274
2000,Annalise,F,273
2000,Cortney,F,273
2000,Darlene,F,273
2000,Sarina,F,273
2000,Dasia,F,272
2000,London,F,271
2000,Yvonne,F,271
2000,Karley,F,270
2000,Shaylee,F,270
2000,Kristy,F,269
2000,Myah,F,269
2000,Ryleigh,F,269
2000,Amira,F,268
2000,Juanita,F,268
2000,Dariana,F,267
2000,Teagan,F,266
2000,Kiarra,F,265
2000,Ryann,F,265
2000,Yamilet,F,265
2000,Alexys,F,263
2000,Kacey,F,263
2000,Shakira,F,263
2000,Sheridan,F,263
2000,Baby,F,262
2000,Dianna,F,262
2000,Lara,F,261
2000,Isabela,F,259
2000,Reina,F,259
2000,Shirley,F,259
2000,Jaycee,F,258
2000,Silvia,F,258
2000,Tatianna,F,258
2000,Eryn,F,257
2000,Ingrid,F,257
2000,Keara,F,257
2000,Randi,F,257
2000,Reanna,F,257
2000,Kalyn,F,256
2000,Lisette,F,256
2000,Monserrat,F,256
2000,Ivana,F,255
2000,Lori,F,255
2000,Abril,F,254
2000,Darby,F,254
2000,Kaela,F,254
2000,Maranda,F,254
2000,Parker,F,254
2000,Darian,F,253
2000,Jasmyn,F,253
2000,Jaylin,F,253
2000,Katia,F,253
2000,Ayla,F,252
2000,Bridgette,F,252
2000,Hillary,F,252
2000,Kinsey,F,252
2000,Yazmin,F,252
2000,Caleigh,F,251
2000,Elyssa,F,251
2000,Rita,F,251
2000,Asha,F,250
2000,Dayana,F,250
2000,Nikita,F,250
2000,Reese,F,249
2000,Stefanie,F,249
2000,Chantel,F,248
2000,Nadine,F,248
2000,Samara,F,248
2000,Unique,F,248
2000,Michele,F,247
2000,Sonya,F,247
2000,Hazel,F,246
2000,Patience,F,246
2000,Cielo,F,245
2000,Mireya,F,245
2000,Paloma,F,245
2000,Aryanna,F,244
2000,Magdalena,F,244
2000,Anaya,F,243
2000,Dallas,F,243
2000,Arely,F,242
2000,Joelle,F,242
2000,Kaia,F,242
2000,Misty,F,242
2000,Norma,F,242
2000,Taya,F,242
2000,Deasia,F,241
2000,Trisha,F,241
2000,Elsa,F,240
2000,Joana,F,240
2000,Alysha,F,239
2000,Aracely,F,239
2000,Bryana,F,239
2000,Dawn,F,239
2000,Brionna,F,238
2000,Alex,F,237
2000,Katerina,F,236
2000,Ali,F,235
2000,Bonnie,F,235
2000,Hadley,F,235
2000,Martina,F,235
2000,Maryam,F,235
2000,Jazmyne,F,234
2000,Shaniya,F,234
2000,Alycia,F,233
2000,Dejah,F,232
2000,Emmalee,F,232
2000,Estefania,F,232
2000,Jakayla,F,231
2000,Lilliana,F,231
2000,Nyasia,F,231
2000,Anjali,F,230
2000,Daisha,F,230
2000,Myra,F,230
2000,Amiya,F,229
2000,Belen,F,229
2000,Jana,F,229
2000,Saige,F,228
2000,Aja,F,227
2000,Annabel,F,227
2000,Scarlett,F,227
2000,Joanne,F,226
2000,Aliza,F,225
2000,Ashly,F,225
2000,Cydney,F,225
2000,Destany,F,225
2000,Fabiola,F,225
2000,Gia,F,225
2000,Keira,F,225
2000,Roxanne,F,225
2000,Kaci,F,224
2000,Abigale,F,223
2000,Abagail,F,222
2000,Janiya,F,222
2000,Odalys,F,222
2000,Aria,F,221
2000,Daija,F,221
2000,Delia,F,221
2000,Kameron,F,221
2000,Ashtyn,F,220
2000,Dayna,F,220
2000,Katy,F,220
2000,Lourdes,F,220
2000,Raina,F,220
2000,Emerald,F,219
2000,Kirstin,F,219
2000,Marlee,F,219
2000,Neha,F,219
2000,Beatrice,F,218
2000,Blair,F,218
2000,Kori,F,218
2000,Luisa,F,218
2000,Annamarie,F,217
2000,Breonna,F,217
2000,Jena,F,217
2000,Leann,F,217
2000,Rhianna,F,217
2000,Yasmeen,F,217
2000,Yessenia,F,217
2000,Breanne,F,216
2000,Laisha,F,216
2000,Mandy,F,216
2000,Amina,F,215
2000,Jailyn,F,215
2000,Jayde,F,215
2000,Jill,F,215
2000,Katlynn,F,215
2000,Kaylan,F,215
2000,Kenna,F,215
2000,Antoinette,F,214
2000,Rayna,F,214
2000,Sky,F,214
2000,Iyana,F,213
2000,Keeley,F,213
2000,Kenia,F,213
2000,Maiya,F,213
2000,Melisa,F,213
2000,Adrian,F,212
2000,Marlen,F,212
2000,Shianne,F,212
2000,Alysia,F,211
2000,Audra,F,211
2000,Jacquelin,F,211
2000,Malaysia,F,211
2000,Aubrie,F,210
2000,Infant,F,210
2000,Kaycee,F,210
2000,Kendal,F,210
2000,Shelbie,F,210
2000,Chana,F,209
2000,Kalie,F,209
2000,Chelsie,F,208
2000,Dalia,F,208
2000,Evelin,F,208
2000,Janie,F,208
2000,Lana,F,208
2000,Leanne,F,208
2000,Ashlie,F,207
2000,Suzanne,F,207
2000,Ashanti,F,206
2000,Juana,F,206
2000,Kelley,F,206
2000,Marcella,F,206
2000,Tristan,F,206
2000,Johana,F,205
2000,Lacy,F,205
2000,Noel,F,205
2000,Bryn,F,204
2000,Ivette,F,204
2000,Jamya,F,204
2000,Mikala,F,204
2000,Nyla,F,204
2000,Yamile,F,204
2000,Jailene,F,203
2000,Katlin,F,203
2000,Keri,F,203
2000,Sarahi,F,203
2000,Shauna,F,203
2000,Tyanna,F,203
2000,Noor,F,202
2000,Flor,F,201
2000,Makena,F,201
2000,Miya,F,201
2000,Sade,F,201
2000,Natalee,F,200
2000,Pearl,F,200
2000,Corina,F,199
2000,Starr,F,199
2000,Hayleigh,F,198
2000,Niya,F,198
2000,Star,F,198
2000,Baylie,F,197
2000,Beyonce,F,197
2000,Carrington,F,197
2000,Rochelle,F,197
2000,Roxana,F,197
2000,Vanesa,F,197
2000,Charisma,F,196
2000,Santana,F,196
2000,Frida,F,195
2000,Melany,F,195
2000,Octavia,F,195
2000,Cameryn,F,194
2000,Jasmyne,F,194
2000,Keyla,F,194
2000,Lilia,F,194
2000,Lucero,F,194
2000,Madalynn,F,194
2000,Jackelyn,F,193
2000,Libby,F,193
2000,Makala,F,193
2000,Danica,F,192
2000,Halee,F,192
2000,Liberty,F,192
2000,Stevie,F,192
2000,Cailey,F,191
2000,Charlene,F,191
2000,Dania,F,191
2000,Denisse,F,191
2000,Iyanna,F,191
2000,Shana,F,191
2000,Shyla,F,191
2000,Tammy,F,191
2000,Tayla,F,191
2000,Elisha,F,190
2000,Kayle,F,190
2000,Ada,F,189
2000,Dina,F,189
2000,Eunice,F,189
2000,Judy,F,189
2000,Priscila,F,189
2000,Carleigh,F,188
2000,Janette,F,188
2000,Jaylene,F,188
2000,Latavia,F,188
2000,Xiomara,F,188
2000,Caylee,F,187
2000,Constance,F,187
2000,Gwyneth,F,187
2000,Lexis,F,187
2000,Yajaira,F,187
2000,Kaytlin,F,186
2000,Aryana,F,185
2000,Jocelyne,F,185
2000,Myranda,F,185
2000,Tiffani,F,185
2000,Gladys,F,184
2000,Kassie,F,184
2000,Kaylen,F,184
2000,Mykayla,F,184
2000,Anabel,F,183
2000,Beverly,F,183
2000,Blake,F,183
2000,Demi,F,183
2000,Emani,F,183
2000,Justina,F,183
2000,Keila,F,183
2000,Makaila,F,183
2000,Colette,F,182
2000,Estefany,F,182
2000,Jalynn,F,182
2000,Joslyn,F,182
2000,Kerry,F,182
2000,Marisela,F,182
2000,Miah,F,182
2000,Anais,F,181
2000,Cherish,F,181
2000,Destinie,F,181
2000,Elle,F,181
2000,Jennie,F,181
2000,Lacie,F,181
2000,Odalis,F,181
2000,Stormy,F,181
2000,Daria,F,180
2000,Halley,F,180
2000,Lina,F,180
2000,Tabatha,F,180
2000,Angeline,F,179
2000,Hollie,F,179
